test_key,test_name_x,time_seconds_x,timeout_seconds_x,timed_out_x,effective_time_seconds_x,test_name_y,time_seconds_y,timeout_seconds_y,timed_out_y,effective_time_seconds_y,test_name,slowdown_ratio_x_to_y,y_faster,x_faster,tie
lanconelli,lanconelli,0.0047,,False,0.0047,lanconelli,0.004,,False,0.004,lanconelli,1.175,True,False,False
test,test,0.0072,,False,0.0072,test,0.0061,,False,0.0061,test,1.180327868852459,True,False,False
solotarev,solotarev,0.0098,,False,0.0098,solotarev,0.0083,,False,0.0083,solotarev,1.180722891566265,True,False,False
hairer1,hairer1,0.0391,,False,0.0391,hairer1,0.0331,,False,0.0331,hairer1,1.1812688821752269,True,False,False
conform1,conform1,0.0273,,False,0.0273,conform1,0.0231,,False,0.0231,conform1,1.1818181818181819,True,False,False
liu,liu,0.0578,,False,0.0578,liu,0.0489,,False,0.0489,liu,1.18200408997955,True,False,False
heart,heart,0.0835,,False,0.0835,heart,0.0706,,False,0.0706,heart,1.1827195467422098,True,False,False
lorentz,lorentz,0.0278,,False,0.0278,lorentz,0.0235,,False,0.0235,lorentz,1.1829787234042553,True,False,False
s9_1,s9_1,0.0724,,False,0.0724,s9_1,0.0612,,False,0.0612,s9_1,1.1830065359477127,True,False,False
quadgrid,quadgrid,0.0329,,False,0.0329,quadgrid,0.0278,,False,0.0278,quadgrid,1.183453237410072,True,False,False
puma,puma,0.0664,,False,0.0664,puma,0.0561,,False,0.0561,puma,1.1836007130124777,True,False,False
reif,reif,0.0896,,False,0.0896,reif,0.0757,,False,0.0757,reif,1.1836195508586524,True,False,False
boon,boon,0.0986,,False,0.0986,boon,0.0833,,False,0.0833,boon,1.183673469387755,True,False,False
chandra5,chandra5,0.1351,,False,0.1351,chandra5,0.1141,,False,0.1141,chandra5,1.1840490797546013,True,False,False
comb3000,comb3000,0.1286,,False,0.1286,comb3000,0.1086,,False,0.1086,comb3000,1.1841620626151013,True,False,False
hemmecke,hemmecke,0.0552,,False,0.0552,hemmecke,0.0466,,False,0.0466,hemmecke,1.184549356223176,True,False,False
chandra4,chandra4,0.034,,False,0.034,chandra4,0.0287,,False,0.0287,chandra4,1.1846689895470384,True,False,False
comb3000s,comb3000s,0.1519,,False,0.1519,comb3000s,0.1282,,False,0.1282,comb3000s,1.1848673946957877,True,False,False
caprasse,caprasse,0.1531,,False,0.1531,caprasse,0.1292,,False,0.1292,caprasse,1.184984520123839,True,False,False
ku10,ku10,0.1447,,False,0.1447,ku10,0.1221,,False,0.1221,ku10,1.185094185094185,True,False,False
hunecke,hunecke,0.0064,,False,0.0064,hunecke,0.0054,,False,0.0054,hunecke,1.1851851851851851,True,False,False
hcyclic5,hcyclic5,0.1884,,False,0.1884,hcyclic5,0.1589,,False,0.1589,hcyclic5,1.1856513530522341,True,False,False
issac97,issac97,0.1793,,False,0.1793,issac97,0.1512,,False,0.1512,issac97,1.1858465608465607,True,False,False
morgenstern,morgenstern,0.1963,,False,0.1963,morgenstern,0.1655,,False,0.1655,morgenstern,1.1861027190332325,True,False,False
rose,rose,0.2466,,False,0.2466,rose,0.2078,,False,0.2078,rose,1.1867179980750722,True,False,False
sparse5,sparse5,0.0019,,False,0.0019,sparse5,0.0016,,False,0.0016,sparse5,1.1875,True,False,False
quadfor2,quadfor2,0.0019,,False,0.0019,quadfor2,0.0016,,False,0.0016,quadfor2,1.1875,True,False,False
redcyc5,redcyc5,0.3022,,False,0.3022,redcyc5,0.2544,,False,0.2544,redcyc5,1.1878930817610063,True,False,False
cyclic5,cyclic5,0.3107,,False,0.3107,cyclic5,0.2615,,False,0.2615,cyclic5,1.1881453154875716,True,False,False
extcyc4,extcyc4,0.4556,,False,0.4556,extcyc4,0.3827,,False,0.3827,extcyc4,1.1904886333943037,True,False,False
uteshev_bikker,uteshev_bikker,0.5842,,False,0.5842,uteshev_bikker,0.49,,False,0.49,uteshev_bikker,1.1922448979591838,True,False,False
chemequ,chemequ,0.5872,,False,0.5872,chemequ,0.4925,,False,0.4925,chemequ,1.192284263959391,True,False,False
redeco7,redeco7,0.6666,,False,0.6666,redeco7,0.5586,,False,0.5586,redeco7,1.1933404940923737,True,False,False
geneig,geneig,0.7047,,False,0.7047,geneig,0.5902,,False,0.5902,geneig,1.1940020332090817,True,False,False
chandra6,chandra6,0.7519,,False,0.7519,chandra6,0.6295,,False,0.6295,chandra6,1.1944400317712471,True,False,False
lichtblau,lichtblau,0.8461,,False,0.8461,lichtblau,0.7076,,False,0.7076,lichtblau,1.1957320520067833,True,False,False
vermeer,vermeer,1.0799,,False,1.0799,vermeer,0.901,,False,0.901,vermeer,1.1985571587125416,True,False,False
f633,f633,1.2836,,False,1.2836,f633,1.069,,False,1.069,f633,1.2007483629560338,True,False,False
chemequs,chemequs,1.5317,,False,1.5317,chemequs,1.2731,,False,1.2731,chemequs,1.2031262273191423,True,False,False
camera1s,camera1s,1.6306,,False,1.6306,camera1s,1.3543,,False,1.3543,camera1s,1.2040168352654508,True,False,False
tangents,tangents,1.7594,,False,1.7594,tangents,1.46,,False,1.46,tangents,1.205068493150685,True,False,False
eco7,eco7,2.1335,,False,2.1335,eco7,1.766,,False,1.766,eco7,1.2080973952434881,True,False,False
matrix,matrix,2.4509,,False,2.4509,matrix,2.0248,,False,2.0248,matrix,1.2104405373370208,True,False,False
rabmo,rabmo,2.5997,,False,2.5997,rabmo,2.146,,False,2.146,rabmo,1.211416589002796,True,False,False
cassou,cassou,2.9425,,False,2.9425,cassou,2.4246,,False,2.4246,cassou,1.2136022436690588,True,False,False
butcher,butcher,3.5895,,False,3.5895,butcher,2.9489,,False,2.9489,butcher,1.2172335447115874,True,False,False
cohn2,cohn2,3.8864,,False,3.8864,cohn2,3.1888,,False,3.1888,cohn2,1.2187656798795785,True,False,False
dessin1,dessin1,5.1486,,False,5.1486,dessin1,4.2052,,False,4.2052,dessin1,1.2243412917340437,True,False,False
des18_3,des18_3,5.2207,,False,5.2207,des18_3,4.2631,,False,4.2631,des18_3,1.2246252726888884,True,False,False
reimer4,reimer4,5.4694,,False,5.4694,reimer4,4.4627,,False,4.4627,reimer4,1.225580926345038,True,False,False
redeco8,redeco8,5.5163,,False,5.5163,redeco8,4.5003,,False,4.5003,redeco8,1.2257627269293159,True,False,False
des22_24,des22_24,6.0525,,False,6.0525,des22_24,4.93,,False,4.93,des22_24,1.227687626774848,True,False,False
hcyclic6,hcyclic6,6.5599,,False,6.5599,hcyclic6,5.3359,,False,5.3359,hcyclic6,1.2293896062519913,True,False,False
kinema,kinema,7.4883,,False,7.4883,kinema,6.077,,False,6.077,kinema,1.2322363008063189,True,False,False
katsura6,katsura6,8.7201,,False,8.7201,katsura6,7.0576,,False,7.0576,katsura6,1.235561664021764,True,False,False
noon5,noon5,9.0906,,False,9.0906,noon5,7.352,,False,7.352,noon5,1.2364798694232861,True,False,False
dessin2,dessin2,9.2279,,False,9.2279,dessin2,7.461,,False,7.461,dessin2,1.2368181208953224,True,False,False
redcyc6,redcyc6,13.2063,,False,13.2063,redcyc6,10.6081,,False,10.6081,redcyc6,1.2449260470772334,True,False,False
speer,speer,13.6046,,False,13.6046,speer,10.922,,False,10.922,speer,1.2456143563449917,True,False,False
cyclic6,cyclic6,18.1816,,False,18.1816,cyclic6,14.5177,,False,14.5177,cyclic6,1.2523746874504915,True,False,False
eco8,eco8,20.8292,,False,20.8292,eco8,16.5891,,False,16.5891,eco8,1.255595541650843,True,False,False
butcher8,butcher8,26.8089,,False,26.8089,butcher8,21.2495,,False,21.2495,butcher8,1.2616249794112802,True,False,False
redeco9,redeco9,31.1834,,False,31.1834,redeco9,24.6456,,False,24.6456,redeco9,1.2652725030025642,True,False,False
cpdm5,cpdm5,56.922,,False,56.922,cpdm5,43.4864,,False,43.4864,cpdm5,1.3089609625078185,True,False,False
kin1,kin1,69.2075,,False,69.2075,kin1,52.6781,,False,52.6781,kin1,1.313781248754226,True,False,False
katsura7,katsura7,75.4499,,False,75.4499,katsura7,57.3364,,False,57.3364,katsura7,1.3159162416893981,True,False,False
benchmark_d1,benchmark_D1,78.2685,,False,78.2685,benchmark_D1,59.4373,,False,59.4373,benchmark_D1,1.3168246202300575,True,False,False
d1,d1,80.5868,,False,80.5868,d1,61.1642,,False,61.1642,d1,1.3175485005934844,True,False,False
extcyc5,extcyc5,91.9136,,False,91.9136,extcyc5,69.5888,,False,69.5888,extcyc5,1.3208102453268342,True,False,False
reimer5,reimer5,112.0179,,False,112.0179,reimer5,84.4954,,False,84.4954,reimer5,1.3257277910986869,True,False,False
rbpl24,rbpl24,147.2,,False,147.2,rbpl24,110.466,,False,110.466,rbpl24,1.3325367081273876,True,False,False
mickey,mickey,0.0004,,False,0.0004,mickey,0.0003,,False,0.0003,mickey,1.3333333333333335,True,False,False
fabrice24,fabrice24,182.2342,,False,182.2342,fabrice24,136.2122,,False,136.2122,fabrice24,1.3378698824334383,True,False,False
redeco10,redeco10,222.2832,,False,222.2832,redeco10,165.5321,,False,165.5321,redeco10,1.3428404520935817,True,False,False
hf744,hf744,232.95,,False,232.95,hf744,173.3241,,False,173.3241,hf744,1.3440139022790252,True,False,False
rbpl,rbpl,238.5581,,False,238.5581,rbpl,177.4181,,False,177.4181,rbpl,1.3446097100577674,True,False,False
eco9,eco9,251.4504,,False,251.4504,eco9,182.8818,,False,182.8818,eco9,1.3749339737469777,True,False,False
filter9,filter9,253.0309,,False,253.0309,filter9,184.0103,,False,184.0103,filter9,1.3750909595821539,True,False,False
noon6,noon6,261.4361,,False,261.4361,noon6,190.0096,,False,190.0096,noon6,1.3759099540233757,True,False,False
hietarinta1,hietarinta1,276.8436,,False,276.8436,hietarinta1,200.9979,,False,200.9979,hietarinta1,1.377345733462887,True,False,False
assur44,assur44,448.1406,,False,448.1406,assur44,324.9751,,False,324.9751,assur44,1.3789998064467093,True,False,False
f744,f744,300.4576,,False,300.4576,f744,217.8808,,False,217.8808,f744,1.3789998935197596,True,False,False
jcf26,jcf26,384.9761,,False,384.9761,jcf26,279.1705,,False,279.1705,jcf26,1.3789999301502127,True,False,False
kotsireas,kotsireas,539.6406,,False,539.6406,kotsireas,391.3275,,False,391.3275,kotsireas,1.3789999425034019,True,False,False
chemkin,chemkin,825.0066,,False,825.0066,chemkin,598.2644,,False,598.2644,chemkin,1.3789999872965866,True,False,False
benchmark_i1,benchmark_i1,408.4467,,False,408.4467,benchmark_i1,296.1905,,False,296.1905,benchmark_i1,1.379000001688103,True,False,False
cohn3,cohn3,3714.8349,,False,3714.8349,cohn3,2693.8614,,False,2693.8614,cohn3,1.379000010913702,True,False,False
katsura8,katsura8,730.7477,,False,730.7477,katsura8,529.9113,,False,529.9113,katsura8,1.3790000326469734,True,False,False
i1,i1,346.0645,,False,346.0645,i1,250.9532,,False,250.9532,i1,1.3790001482348102,True,False,False
